english_name,description
Pelipper,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
Ralts,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.
Kirlia,"If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about."
Gardevoir,It has the power to predict the future. Its power peaks when it is protecting its Trainer.
Surskit,"If it’s in a pinch, it will secrete a sweet liquid from the tip of its head. Syrup made from gathering that liquid is tasty on bread."
Masquerain,"Masquerain intimidates enemies with the eyelike patterns of its eyespots. If that doesn’t work, it deftly makes its escape on its set of four wings."
Shroomish,"Shroomish live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This Pokémon feeds on compost that is made up of fallen, rotted leaves."
Breloom,"Breloom closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This Pokémon’s fighting technique puts boxers to shame."
Slakoth,"Slakoth lolls around for over 20 hours every day. Because it moves so little, it does not need much food. This Pokémon’s sole daily meal consists of just three leaves."
Vigoroth,Vigoroth is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This Pokémon’s stress level rises if it can’t be moving constantly.
Slaking,"Slaking spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this Pokémon reluctantly moves to another spot."
Nincada,"Because it lived almost entirely underground, it is nearly blind. It uses its antennae instead."
Ninjask,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.
Shedinja,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.
Whismur,"The cry of a Whismur is over 100 decibels. If you’re close to a Whismur when it lets out a cry, you’ll be stuck with an all-day headache."
Loudred,"Loudred’s ears serve as speakers, and they can put out sound waves powerful enough to blow away a house."
Exploud,"In the past, people would use the loud voices of these Pokémon as a means of communication between distant cities."
Makuhita,It practices its slaps by repeatedly slapping tree trunks. It has been known to slap an Exeggutor and get flung away.
Hariyama,"Although they enjoy comparing their strength, they’re also kind. They value etiquette, praising opponents they battle."
Azurill,"The ball on Azurill’s tail bounces like a rubber ball, and it’s full of the nutrients the Pokémon needs to grow."
Nosepass,"It moves less than an inch a year, but when it’s in a jam, it will spin and drill down into the ground in a split second."
Skitty,Skitty has the habit of becoming fascinated by moving objects and chasing them around. This Pokémon is known to chase after its own tail and become dizzy.
Delcatty,"Delcatty prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this Pokémon eats and sleeps whenever it decides, its daily routines are completely random."
Sableye,"This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it’s believed that Sableye will steal people’s spirits away."
Mawile,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws."
Aron,It eats iron ore—and sometimes railroad tracks— to build up the steel armor that protects its body.
Lairon,"Lairon live in mountains brimming with spring water and iron ore, so these Pokémon often came into conflict with humans in the past."
Aggron,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.
Meditite,"Meditite undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this Pokémon always loses its concentration and focus. As a result, its training never ends."
Medicham,"It is said that through meditation, Medicham heightens energy inside its body and sharpens its sixth sense. This Pokémon hides its presence by merging itself with fields and mountains."
Electrike,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.
Manectric,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well."
Plusle,"Plusle always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this Pokémon shorts out its body to create the crackling noises of sparks to show its joy."
Minun,Minun is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.
Volbeat,"With the arrival of night, Volbeat emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This Pokémon is attracted by the sweet aroma of Illumise."
Illumise,"Illumise attracts a swarm of Volbeat using a sweet fragrance. Once the Volbeat have gathered, this Pokémon leads the lit-up swarm in drawing geometric designs on the canvas of the night sky."
Roselia,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is."
Gulpin,"Virtually all of Gulpin’s body is its stomach. As a result, it can swallow something its own size. This Pokémon’s stomach contains a special fluid that digests anything."
Swalot,"When Swalot spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this Pokémon gulps it down whole with its cavernous mouth."
Carvanha,"It won’t attack while it’s alone—not even if it spots prey. Instead, it waits for other Carvanha to join it, and then the Pokémon attack as a group."
Sharpedo,"As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph."
Wailmer,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.
Wailord,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.
Numel,"Numel is extremely dull witted—it doesn’t notice being hit. However, it can’t stand hunger for even a second. This Pokémon’s body is a seething cauldron of boiling magma."
Camerupt,"Camerupt has a volcano inside its body. Magma of 18,000 degrees Fahrenheit courses through its body. Occasionally, the humps on this Pokémon’s back erupt, spewing the superheated magma."
Torkoal,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
Spoink,"Spoink bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this Pokémon cannot afford to stop bouncing—if it stops, its heart will stop."
Grumpig,"Grumpig uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pokémon uses its special power, its snorting breath grows labored."
Spinda,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.
Trapinch,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape."
Vibrava,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.
Flygon,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.
Cacnea,"Cacnea lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this Pokémon shoots sharp thorns from its body to bring the victim down."
Cacturne,"During the daytime, Cacturne remains unmoving so that it does not lose any moisture to the harsh desert sun. This Pokémon becomes active at night when the temperature drops."
Swablu,"Its cottony wings are full of air, making them light and fluffy to the touch. Swablu takes diligent care of its wings."
Altaria,"As it flies in a calm and relaxed manner, Altaria performs a humming song that would enrapture any audience."
Zangoose,Memories of battling its archrival Seviper are etched into every cell of Zangoose’s body. This Pokémon adroitly dodges attacks with incredible agility.
Seviper,Seviper shares a generations-long feud with Zangoose. The scars on its body are evidence of vicious battles. This Pokémon attacks using its sword-edged tail.
Lunatone,The phase of the moon apparently has some effect on its power. It’s active on the night of a full moon.
Solrock,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes."
Barboach,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud."
Whiscash,"It makes its nest at the bottom of swamps. It will eat anything—if it is alive, Whiscash will eat it."
Corphish,"No matter how dirty the water in the river, it will adapt and thrive. It has a strong will to survive."
Crawdaunt,A rough customer that wildly flails its giant claws. It is said to be extremely hard to raise.
Baltoy,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.
Claydol,"This mysterious Pokémon started life as an ancient clay figurine made over 20,000 years ago."
Lileep,"This Pokémon was restored from a fossil. Lileep once lived in warm seas that existed approximately 100,000,000 years ago."
Cradily,"It has short legs and can’t walk very fast, but its neck and tentacles can extend to over three times their usual length to nab distant prey."
Anorith,"This Pokémon was restored from a fossil. Anorith lived in the ocean about 100,000,000 years ago, hunting with its pair of claws."
Armaldo,"After evolution, this Pokémon emerged onto land. Its lower body has become stronger, and blows from its tail are devastating."
Feebas,"Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research."
Milotic,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.
Castform,"Although its form changes with the weather, that is apparently the result of a chemical reaction and not the result of its own free will."
Kecleon,"It changes its hue to blend into its surroundings. If no one takes notice of it for too long, it will pout and never reveal itself."
Shuppet,"It eats up emotions like malice, jealousy, and resentment, so some people are grateful for its presence."
Banette,"It’s a stuffed toy that was thrown away and became possessed, ever searching for the one who threw it away so it can exact its revenge."
Duskull,"If it finds bad children who won’t listen to their parents, it will spirit them away—or so it’s said."
Dusclops,"Its body is entirely hollow. When it opens its mouth, it sucks everything in as if it were a black hole."
Tropius,The bunches of fruit growing around the necks of Tropius in Alola are especially sweet compared to those in other regions.
Chimecho,"Chimecho makes its cries echo inside its hollow body. When this Pokémon becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
Absol,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters."
Wynaut,It tends to move in a pack. Individuals squash against one another to toughen their spirits.
Snorunt,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive."
Glalie,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere."
Spheal,This Pokémon’s body is covered in blubber and impressively round. It’s faster for Spheal to roll around than walk.
Sealeo,"Sealeo live on top of drift ice. They go swimming when they’re on the hunt, seeking out their prey by scent."
Walrein,"Walrein form herds of 20 to 30 individuals. When a threat appears, the herd’s leader will protect the group with its life."
Clamperl,"Despite its appearance, it’s carnivorous. It clamps down on its prey with both sides of its shell and doesn’t let go until they stop moving."
Huntail,It’s not the strongest swimmer. It wags its tail to lure in its prey and then gulps them down as soon as they get close.
Gorebyss,The color of its body changes with the water temperature. The coloration of Gorebyss in Alola is almost blindingly vivid.
Relicanth,Rock-hard scales and oil-filled swim bladders allow this Pokémon to survive the intense water pressure of the deep sea.
Luvdisc,There was an era when it was overfished due to the rumor that having one of its heart-shaped scales would enable you to find a sweetheart.
Bagon,"Bagon jumps off cliffs every day, trying to grow stronger so that someday it will be able to fly."
Shelgon,This Pokémon has covered its body in a hard shell that has the same composition as bone. Shelgon stores energy for evolution.
Salamence,Salamence is an unusual Pokémon in that it was able to evolve a body with wings just by constantly wishing to be able to fly.
Beldum,"From its rear, Beldum emits a magnetic force that rapidly pulls opponents in. They get skewered on Beldum’s sharp claws."
Metang,"Two Beldum have become stuck together via their own magnetic forces. With two brains, the resulting Metang has doubled psychic powers."
Metagross,"Because the magnetic powers of these Pokémon get stronger in freezing temperatures, Metagross living on snowy mountains are full of energy."
Regirock,"Every bit of Regirock’s body is made of stone. As parts of its body erode, this Pokémon sticks rocks to itself to repair what’s been lost."
Regice,"With cold air that can reach temperatures as low as −328 degrees Fahrenheit, Regice instantly freezes any creature that approaches it."
Registeel,Registeel’s body is made of a strange material that is flexible enough to stretch and shrink but also more durable than any metal.
Latias,"Latias is highly sensitive to the emotions of people. If it senses any hostility, this Pokémon ruffles the feathers all over its body and cries shrilly to intimidate the foe."
Latios,Latios has the ability to make others see an image of what it has seen or imagines in its head. This Pokémon is intelligent and understands human speech.
Kyogre,"Through Primal Reversion and with nature’s full power, it will take back its true form. It can summon storms that cause the sea levels to rise."
Groudon,"Groudon is said to be the personification of the land itself. Legends tell of its many clashes against Kyogre, as each sought to gain the power of nature."
Rayquaza,Rayquaza is said to have lived for hundreds of millions of years. Legends remain of how it put to rest the clash between Kyogre and Groudon.
Jirachi,"A legend states that Jirachi will make true any wish that is written on notes attached to its head when it awakens. If this Pokémon senses danger, it will fight without awakening."
Deoxys,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in Deoxys. The crystalline organ on this Pokémon’s chest appears to be its brain.
Turtwig,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.
Grotle,"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell."
Torterra,"Ancient people imagined that beneath the ground, a gigantic Torterra dwelled."
Chimchar,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.
Monferno,It skillfully controls the intensity of the fire on its tail to keep its foes at an ideal distance.
Infernape,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.
Piplup,It doesn’t like to be taken care of. It’s difficult to bond with since it won’t listen to its Trainer.
Prinplup,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
Empoleon,It swims as fast as a jet boat. The edges of its wings are sharp and can slice apart drifting ice.
Starly,"They flock in great numbers. Though small, they flap their wings with great power."
Staravia,"They maintain huge flocks, although fierce scuffles break out between various flocks."
Staraptor,The muscles in its wings and legs are strong. It can easily fly while gripping a small Pokémon.
Bidoof,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
Bibarel,It busily makes its nest with stacks of branches and roots it has cut up with its sharp incisors.
Kricketot,It chats with others using the sounds of its colliding antennae. These sounds are fall hallmarks.
Kricketune,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
Shinx,This Pokémon generates electricity by contracting its muscles. Excited trembling is a sign that Shinx is generating a tremendous amount of electricity.
Luxio,"By joining its tail with that of another Luxio, this Pokémon can receive some of the other Luxio’s electricity and power up its own electric blasts."
Luxray,"Luxray can see through solid objects. It will instantly spot prey trying to hide behind walls, even if the walls are thick."
Budew,"The pollen it releases contains poison. If this Pokémon is raised on clean water, the poison’s toxicity is increased."
Roserade,"After captivating opponents with its sweet scent, it lashes them with its thorny whips."
Cranidos,"A primeval Pokémon, it possesses a hard and sturdy skull, lacking any intelligence within."
Rampardos,"In ancient times, people would dig up fossils of this Pokémon and use its skull, which is harder than steel, to make helmets."
Shieldon,"A mild-mannered, herbivorous Pokémon, it used its face to dig up tree roots to eat. The skin on its face was plenty tough."
Bastiodon,"The bones of its face are huge and hard, so they were mistaken for its spine until after this Pokémon was successfully restored."
Burmy,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves."
Wormadam,Its appearance changes depending on where it evolved. The materials on hand become a part of its body.
Mothim,It loves the honey of flowers and steals honey collected by Combee.
Combee,The members of the trio spend all their time together. Each one has a slightly different taste in nectar.
Vespiquen,It skillfully commands its grubs in battles with its enemies. The grubs are willing to risk their lives to defend Vespiquen.
Pachirisu,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
Buizel,"It swims by rotating its two tails like a screw. When it dives, its flotation sac collapses."
Floatzel,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.
Cherubi,"It nimbly dashes about to avoid getting pecked by bird Pokémon that would love to make off with its small, nutrient-rich storage ball."
Cherrim,"As a bud, it barely moves. It sits still, placidly waiting for sunlight to appear."
Shellos,"This Pokémon’s habitat shapes its physique. According to some theories, life in warm ocean waters causes this variation to develop."
Gastrodon,"Its search for food sometimes leads it onto land, where it leaves behind a sticky trail of slime as it passes through."
Ambipom,"In their search for comfortable trees, they get into territorial disputes with groups of Passimian. They win about half the time."
Drifloon,"Perhaps seeking company, it approaches children. However, it often quickly runs away again when the children play too roughly with it."
Drifblim,"Some say this Pokémon is a collection of souls burdened with regrets, silently drifting through the dusk."
Buneary,"If both of Buneary’s ears are rolled up, something is wrong with its body or mind. It’s a sure sign the Pokémon is in need of care."
Lopunny,"Lopunny is constantly monitoring its surroundings. If danger approaches, this Pokémon responds with superdestructive kicks."
Mismagius,"Feared for its wrath and the curses it spreads, this Pokémon will also, on a whim, cast spells that help people."
Honchkrow,It will absolutely not forgive failure from or betrayal by its goons. It has no choice in this if it wants to maintain the order of the flock.
Glameow,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.
Purugly,It would claim another Pokémon’s nest as its own if it finds a nest sufficiently comfortable.
Chingling,"Each time it hops, it makes a ringing sound. It deafens foes by emitting high-frequency cries."
Stunky,"From its rear, it sprays a foul-smelling liquid at opponents. It aims for their faces, and it can hit them from over 16 feet away."
Skuntank,"In its belly, it reserves stinky fluid that it shoots from its tail during battle. As this Pokémon’s diet varies, so does the stench of its fluid."
Bronzor,"It appears in ancient ruins. The pattern on its body doesn’t come from any culture in the Galar region, so it remains shrouded in mystery."
Bronzong,"Some believe it to be a deity that summons rain clouds. When angered, it lets out a warning cry that rings out like the tolling of a bell."
Bonsly,"It expels both sweat and tears from its eyes. The sweat is a little salty, while the tears have a slight bitterness."
Mime Jr.,"It mimics everyone it sees, but it puts extra effort into copying the graceful dance steps of Mr. Rime as practice."
Happiny,"Mimicking Chansey, Happiny will place an egg- shaped stone in its belly pouch. Happiny will treasure this stone."
Chatot,It mimics the cries of other Pokémon to trick them into thinking it’s one of them. This way they won’t attack it.
Spiritomb,Exactly 108 spirits gathered to become this Pokémon. Apparently there are some ill-natured spirits in the mix.
Gible,"Gible prefers to stay in narrow holes in the sides of caves heated by geothermal energy. This way, Gible can stay warm even during a blizzard."
Gabite,This Pokémon emits ultrasonic waves from a protrusion on either side of its head to probe pitch-dark caves.
Garchomp,"Garchomp makes its home in volcanic mountains. It flies through the sky as fast as a jet airplane, hunting down as much prey as it can."
Munchlax,"Stuffing itself with vast amounts of food is its only concern. Whether the food is rotten or fresh, yummy or tasteless—it does not care."
Riolu,"It’s exceedingly energetic, with enough stamina to keep running all through the night. Taking it for walks can be a challenging experience."
Lucario,"It controls waves known as auras, which are powerful enough to pulverize huge rocks. It uses these waves to take down its prey."
Hippopotas,"It moves through the sands with its mouth open, swallowing sand along with its prey. It gets rid of the sand by spouting it from its nose."
Hippowdon,"Stones can get stuck in the ports on their bodies. Dwebble help dislodge such stones, so Hippowdon look after these Pokémon."
Skorupi,"After burrowing into the sand, it waits patiently for prey to come near. This Pokémon and Sizzlipede share common descent."
Drapion,"Its poison is potent, but it rarely sees use. This Pokémon prefers to use physical force instead, going on rampages with its car-crushing strength."
Croagunk,"It makes frightening noises with its poison-filled cheek sacs. When opponents flinch, Croagunk hits them with a poison jab."
Toxicroak,It bounces toward opponents and gouges them with poisonous claws. No more than a scratch is needed to knock out its adversaries.
Carnivine,"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey."
Finneon,"When night falls, their pink patterns begin to shine. They’re popular with divers, so there are resorts that feed them to keep them close."
Lumineon,"Deep down at the bottom of the ocean, prey is scarce. Lumineon get into fierce disputes with Lanturn over food."
Mantyke,Mantyke living in Galar seem to be somewhat sluggish. The colder waters of the seas in this region may be the cause.
Snover,It lives on snowy mountains. It sinks its legs into the snow to absorb water and keep its own temperature down.
Abomasnow,"If it sees any packs of Darumaka going after Snover, it chases them off, swinging its sizable arms like hammers."
Weavile,They attack their quarry in packs. Prey as large as Mamoswine easily fall to the teamwork of a group of Weavile.
Magnezone,Some say that Magnezone receives signals from space via the antenna on its head and that it’s being controlled by some mysterious being.
Lickilicky,Lickilicky’s strange tongue can stretch to many times the length of its body. No one has figured out how Lickilicky’s tongue can stretch so far.
Rhyperior,It can load up to three projectiles per arm into the holes in its hands. What launches out of those holes could be either rocks or Roggenrola.
Tangrowth,"Tangrowth has two arms that it can extend as it pleases. Recent research has shown that these arms are, in fact, bundles of vines."
Electivire,The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.
Magmortar,"When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit."
Togekiss,"These Pokémon are never seen anywhere near conflict or turmoil. In recent times, they’ve hardly been seen at all."
Yanmega,It prefers to battle by biting apart foes’ heads instantly while flying by at high speed.
Leafeon,Galarians favor the distinctive aroma that drifts from this Pokémon’s leaves. There’s a popular perfume made using that scent.
Glaceon,Any who become captivated by the beauty of the snowfall that Glaceon creates will be frozen before they know it.
Gliscor,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!"
Mamoswine,"This Pokémon can be spotted in wall paintings from as far back as 10,000 years ago. For a while, it was thought to have gone extinct."
Porygon-Z,"Porygon-Z had a program installed to allow it to move between dimensions, but the program also caused instability in Porygon-Z’s behavior."
Gallade,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone."
Probopass,"Although it can control its units known as Mini-Noses, they sometimes get lost and don’t come back."
Dusknoir,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own."
Froslass,"After a woman met her end on a snowy mountain, her regrets lingered on. From them, this Pokémon was born. Its favorite food is frozen souls."
Rotom,One boy’s invention led to the development of many different machines that take advantage of Rotom’s unique capabilities.
Uxie,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.
Mesprit,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy."
Azelf,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.
Dialga,A Pokémon spoken of in legend. It is said that time began moving when Dialga was born.
Palkia,It is said to live in a gap in the spatial dimension parallel to ours. It appears in mythology.
Heatran,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.
Regigigas,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma."
Giratina,"This Pokémon is said to live in a world on the reverse side of ours, where common knowledge is distorted and strange."
Cresselia,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.
Phione,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs."
Manaphy,It is born with a wondrous power that lets it bond with any kind of Pokémon.
Darkrai,"It chases people and Pokémon from its territory by causing them to experience deep, nightmarish slumbers."
Shaymin,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.
Arceus,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
Victini,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter."
Snivy,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.
Servine,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip."
Serperior,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.
Tepig,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.
Pignite,"The more it eats, the more fuel it has to make the fire in its stomach stronger. This fills it with even more power."
Emboar,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.
Oshawott,The scalchop on its stomach isn’t just used for battle—it can be used to break open hard berries as well.
Dewott,Strict training is how it learns its flowing double-scalchop technique.
Samurott,"In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs."
Patrat,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others."
Watchog,"Using luminescent matter, it makes its eyes and body glow and stuns attacking opponents."
Lillipup,This Pokémon is courageous but also cautious. It uses the soft fur covering its face to collect information about its surroundings.
Herdier,Herdier is a very smart and friendly Pokémon. So much so that there’s a theory that Herdier was the first Pokémon to partner with people.
Stoutland,These Pokémon seem to enjoy living with humans. Even a Stoutland caught in the wild will warm up to people in about three days.
Purrloin,It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.
Liepard,Don’t be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.
Pansage,It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.
Simisage,It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.
Pansear,"Very intelligent, it roasts berries before eating them. It likes to help people."
Simisear,A flame burns inside its body. It scatters embers from its head and tail to sear its opponents.
Panpour,The water stored inside the tuft on its head is full of nutrients. It waters plants with it using its tail.
Simipour,"The high-pressure water expelled from its tail is so powerful, it can destroy a concrete wall."
Munna,"Late at night, it appears beside people’s pillows. As it feeds on dreams, the patterns on its body give off a faint glow."
Musharna,"When dark mists emanate from its body, don’t get too near. If you do, your nightmares will become reality."
Pidove,"Where people go, these Pokémon follow. If you’re scattering food for them, be careful—several hundred of them can gather at once."
Tranquill,"It can fly moderately quickly. No matter how far it travels, it can always find its way back to its master and its nest."
Unfezant,"Unfezant are exceptional fliers. The females are known for their stamina, while the males outclass them in terms of speed."
Blitzle,"When thunderclouds cover the sky, it will appear. It can catch lightning with its mane and store the electricity."
Zebstrika,"When this ill-tempered Pokémon runs wild, it shoots lightning from its mane in all directions."
Roggenrola,"It’s as hard as steel, but apparently a long soak in water will cause it to soften a bit."
Boldore,"If you see its orange crystals start to glow, be wary. It’s about to fire off bursts of energy."
Gigalith,"This hardy Pokémon can often be found on construction sites and in mines, working alongside people and Copperajah."
Woobat,"While inside a cave, if you look up and see lots of heart-shaped marks lining the walls, it’s evidence that Woobat live there."
Swoobat,"Emitting powerful sound waves tires it out. Afterward, it won’t be able to fly for a little while."
Drilbur,It brings its claws together and whirls around at high speed before rushing toward its prey.
Excadrill,It’s not uncommon for tunnels that appear to have formed naturally to actually be a result of Excadrill’s rampant digging.
Audino,Audino’s sense of hearing is superb. Not even a pebble rolling along over a mile away will escape Audino’s ears.
Timburr,"It loves helping out with construction projects. It loves it so much that if rain causes work to halt, it swings its log around and throws a tantrum."
Gurdurr,"It shows off its muscles to Machoke and other Gurdurr. If it fails to measure up to the other Pokémon, it lies low for a little while."
Conkeldurr,"Concrete mixed by Conkeldurr is much more durable than normal concrete, even when the compositions of the two materials are the same."
Tympole,Graceful ripples running across the water’s surface are a sure sign that Tympole are singing in high-pitched voices below.
Palpitoad,"It weakens its prey with sound waves intense enough to cause headaches, then entangles them with its sticky tongue."
Seismitoad,The vibrating of the bumps all over its body causes earthquake-like tremors. Seismitoad and Croagunk are similar species.
Throh,"It performs throwing moves with first-rate skill. Over the course of many battles, Throh’s belt grows darker as it absorbs its wearer’s sweat."
Sawk,"If you see a Sawk training in the mountains in its single-minded pursuit of strength, it’s best to quietly pass by."
Sewaddle,This Pokémon makes clothes for itself. It chews up leaves and sews them with sticky thread extruded from its mouth.
Swadloon,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.
Leavanny,"Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth."
Venipede,"Venipede and Sizzlipede are similar species, but when the two meet, a huge fight ensues."
Whirlipede,This Pokémon spins itself rapidly and charges into its opponents. Its top speed is just over 60 mph.
Scolipede,Scolipede latches on to its prey with the claws on its neck before slamming them into the ground and jabbing them with its claws’ toxic spikes.
Cottonee,"It shoots cotton from its body to protect itself. If it gets caught up in hurricane-strength winds, it can get sent to the other side of the Earth."
Whimsicott,"It scatters cotton all over the place as a prank. If it gets wet, it’ll become too heavy to move and have no choice but to answer for its mischief."
Petilil,Petilil appears around sources of clean water. Boiling leaves from this Pokémon’s head results in a liquid that’s sometimes used as a bug repellent.
Lilligant,It’s believed that even first-rate gardeners have a hard time getting the flower on a Lilligant’s head to bloom.
Basculin,Anglers love the fight this Pokémon puts up on the hook. And there are always more to catch— many people release them into lakes illicitly.
Sandile,"The desert gets cold at night, so when the sun sets, this Pokémon burrows deep into the sand and sleeps until sunrise."
Krokorok,Krokorok has specialized eyes that enable it to see in the dark. This ability lets Krokorok hunt in the dead of night without getting lost.
Krookodile,This Pokémon is known as the Bully of the Sands. Krookodile’s mighty jaws can bite through heavy plates of iron with almost no effort at all.
Darumaka,"It derives its power from fire burning inside its body. If the fire dwindles, this Pokémon will immediately fall asleep."
Darmanitan,The thick arms of this hot-blooded Pokémon can deliver punches capable of obliterating a dump truck.
Maractus,"With noises that could be mistaken for the rattles of maracas, it creates an upbeat rhythm, startling bird Pokémon and making them fly off in a hurry."
Dwebble,"When it finds a stone appealing, it creates a hole inside it and uses it as its home. This Pokémon is the natural enemy of Roggenrola and Rolycoly."
Crustle,This highly territorial Pokémon prefers dry climates. It won’t come out of its boulder on rainy days.
Scraggy,"If it locks eyes with you, watch out! Nothing and no one is safe from the reckless headbutts of this troublesome Pokémon."
Scrafty,"As halfhearted as this Pokémon’s kicks may seem, they pack enough power to shatter Conkeldurr’s concrete pillars."
Sigilyph,Psychic power allows these Pokémon to fly. Some say they were the guardians of an ancient city. Others say they were the guardians’ emissaries.
Yamask,"It wanders through ruins by night, carrying a mask that’s said to have been the face it had when it was still human."
Cofagrigus,This Pokémon has a body of sparkling gold. People say it no longer remembers that it was once human.
Tirtouga,"This Pokémon inhabited ancient seas. Although it can only crawl, it still comes up onto land in search of prey."
Carracosta,"Carracosta completely devours its prey—bones, shells, and all. Because of this, Carracosta’s own shell grows thick and sturdy."
Archen,"This Pokémon was successfully restored from a fossil. As research suggested, Archen is unable to fly. But it’s very good at jumping."
